title,description,link,pubDate
Facebook harms children and weakens democracy: ex-employee,A former employee tells the US Senate that the social media giant put profit before people.,https://www.bbc.co.uk/news/world-us-canada-58805965?at_medium=RSS&at_campaign=KARANGA,"Wed, 06 Oct 2021 01:40:16 GMT"
Ernest Johnson: Missouri executes man for killing three in 1994 robbery,Ernest Johnson was executed despite pleas from Pope Francis and other advocates.,https://www.bbc.co.uk/news/world-us-canada-58811241?at_medium=RSS&at_campaign=KARANGA,"Tue, 05 Oct 2021 23:57:10 GMT"
US to combat threats of violence against teachers,Reports of intimidation and threats of violence against teachers rise in response to Covid rules.,https://www.bbc.co.uk/news/world-us-canada-58806702?at_medium=RSS&at_campaign=KARANGA,"Tue, 05 Oct 2021 14:49:28 GMT"
Tesla must pay $137m to racially harassed former worker,A judge rules the firm did not take reasonable steps to stop a US factory worker from being abused.,https://www.bbc.co.uk/news/business-58807212?at_medium=RSS&at_campaign=KARANGA,"Tue, 05 Oct 2021 15:10:09 GMT"
"Facebook, Whatsapp and Instagram back after outage","Facebook says the outage, which lasted nearly six hours, was caused by a faulty configuration change.",https://www.bbc.co.uk/news/technology-58793174?at_medium=RSS&at_campaign=KARANGA,"Tue, 05 Oct 2021 08:12:19 GMT"
